Average_MW	MONO_MW	FORMULA	KEGG_ID	NAME	PUBCHEM_CID	CAS_ID	PATHWAY	hmdbid	super_class	class	sub_class	origin
 178.1846;	 178.063;	 C10H10O3	C20327	 2-Oxo-4-phenylbutyric acid; 2-Oxo-4-phenylbutanoic acid; 2-Oxo-4-phenylbutanoate;	 PubChem: 163312065	 CAS: 710-11-2	" map00400 Phenylalanine, tyrosine and tryptophan biosynthesis; map01100 Metabolic pathways; map01210 2-Oxocarboxylic acid metabolism"	NA	NA	NA	NA	NA
 178.1846;	 178.063;	 C10H10O3	C20646	 (3S)-2-Oxo-3-phenylbutanoate; (3S)-beta-Methylphenylpyruvate;	 PubChem: 172232370	NULL	NULL	NA	NA	NA	NA	NA
 194.184;	 194.0579;	 C10H10O4	C00779	" Scytalone; 3,4-Dihydro-3,6,8-trihydoroxy-1(2H)-napthalenone;"	 PubChem: 4040	 CAS: 49598-85-8	NULL	NA	NA	NA	NA	NA
 194.184;	 194.0579;	 C10H10O4	C01494	 Ferulate; Ferulic acid; 4-Hydroxy-3-methoxycinnamic acid; 3-Methoxy-4-hydroxy-trans-cinnamate; 4-Hydroxy-3-methoxycinnamate;	 PubChem: 4664	 CAS: 537-98-4	 map00940 Phenylpropanoid biosynthesis; map01061 Biosynthesis of phenylpropanoids; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites	HMDB0000954	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Food
 194.184;	 194.0579;	 C10H10O4	C02379	 6-Hydroxymellein;	 PubChem: 5421	NULL	NULL	NA	NA	NA	NA	NA
 194.184;	 194.0579;	 C10H10O4	C09974	" 2,4,8-Trihydroxy-1-tetralone;"	 PubChem: 12160	 CAS: 88899-02-9	NULL	NA	NA	NA	NA	NA
 194.184;	 194.0579;	 C10H10O4	C10470	 Isoferulic acid;	 PubChem: 12653	 CAS: 537-73-5	NULL	HMDB0000955	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Food
 194.184;	 194.0579;	 C10H10O4	C10477	 Methyl caffeate;	 PubChem: 12660	 CAS: 3843-74-1	NULL	NA	NA	NA	NA	NA
 194.184;	 194.0579;	 C10H10O4	C11233	 Dimethyl phthalate;	 PubChem: 13412	 CAS: 131-11-3	NULL	HMDB0251388	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	null
 194.184;	 194.0579;	 C10H10O4	C12204	 5-Hydroxyconiferaldehyde;	 PubChem: 14350	 CAS: 249647-14-1	 map00940 Phenylpropanoid biosynthesis; map01061 Biosynthesis of phenylpropanoids; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites	NA	NA	NA	NA	NA
 194.184;	 194.0579;	 C10H10O4	C16982	 Kakuol; Kakoul;	 PubChem: 96023468	 CAS: 18607-90-4	NULL	NA	NA	NA	NA	NA
 194.184;	 194.0579;	 C10H10O4	C22494	 Phenylsuccinate; Phenylsuccinic acid;	NULL	 CAS: 635-51-8	NULL	NA	NA	NA	NA	NA
 210.1834;	 210.0528;	 C10H10O5	C05619	 5-Hydroxyferulic acid; 5-Hydroxyferulate;	 PubChem: 7937	 CAS: 1782-55-4	 map00940 Phenylpropanoid biosynthesis; map01061 Biosynthesis of phenylpropanoids; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites	HMDB0035484	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Food
 210.1834;	 210.0528;	 C10H10O5	C21450	 4-(2-Hydroxyethoxycarbonyl)benzoate; 4-[(2-Hydroxyethoxy)carbonyl]benzoate; Mono(2-hydroxyethyl) terephthalate; Mono(ethylene terephthalate);	 PubChem: 329728073	NULL	 map00624 Polycyclic aromatic hydrocarbon degradation; map01100 Metabolic pathways; map01120 Microbial metabolism in diverse environments	NA	NA	NA	NA	NA
 210.1834;	 210.0528;	 C10H10O5	C21896	" 2,4-Diacetylphloroglucinol;"	NULL	NULL	NULL	NA	NA	NA	NA	NA
 226.1828;	 226.0477;	 C10H10O6	C00251	" Chorismate; Chorismic acid; (3R,4R)-3-[(1-Carboxyethenyl)oxy]-4-hydroxycyclohexa-1,5-diene-1-carboxylate;"	 PubChem: 3550	 CAS: 617-12-9	" map00130 Ubiquinone and other terpenoid-quinone biosynthesis; map00400 Phenylalanine, tyrosine and tryptophan biosynthesis; map00405 Phenazine biosynthesis; map00790 Folate biosynthesis; map00996 Biosynthesis of various alkaloids; map00997 Biosynthesis of various other secondary metabolites; map00998 Biosynthesis of various antibiotics; map00999 Biosynthesis of various plant secondary metabolites; map01053 Biosynthesis of siderophore group nonribosomal peptides; map01059 Biosynthesis of enediyne antibiotics; map01060 Biosynthesis of plant secondary metabolites; map01061 Biosynthesis of phenylpropanoids; map01063 Biosynthesis of alkaloids derived from shikimate pathway; map01070 Biosynthesis of plant hormones; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01230 Biosynthesis of amino acids; map01240 Biosynthesis of cofactors"	HMDB0012199	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives	Endogenous
 226.1828;	 226.0477;	 C10H10O6	C00254	 Prephenate; Prephenic acid;	 PubChem: 3553	 CAS: 126-49-8	" map00400 Phenylalanine, tyrosine and tryptophan biosynthesis; map00401 Novobiocin biosynthesis; map00996 Biosynthesis of various alkaloids; map00998 Biosynthesis of various antibiotics; map00999 Biosynthesis of various plant secondary metabolites; map01060 Biosynthesis of plant secondary metabolites; map01061 Biosynthesis of phenylpropanoids; map01063 Biosynthesis of alkaloids derived from shikimate pathway; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01230 Biosynthesis of amino acids; map01240 Biosynthesis of cofactors"	HMDB0012283	Organic acids and derivatives	Keto acids and derivatives	Gamma-keto acids and derivatives	Endogenous
 226.1828;	 226.0477;	 C10H10O6	C00885	 Isochorismate; Isochorismic acid;	 PubChem: 4141	 CAS: 22642-82-6	 map00130 Ubiquinone and other terpenoid-quinone biosynthesis; map01053 Biosynthesis of siderophore group nonribosomal peptides; map01061 Biosynthesis of phenylpropanoids; map01070 Biosynthesis of plant hormones; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01240 Biosynthesis of cofactors	HMDB0304395	Organic acids and derivatives	Hydroxy acids and derivatives	Beta hydroxy acids and derivatives	null
 424.1014;	 422.9579;	 C10H11BrN5O7P	C13817	 8-Br-cGMP; 8-Bromocyclic GMP;	 PubChem: 854062	 CAS: 31356-94-2	NULL	NA	NA	NA	NA	NA
 253.5527;	 251.9875;	 C10H11Cl3O	C17102	 Cartilagineal;	 PubChem: 96023575	 CAS: 53915-35-8	NULL	NA	NA	NA	NA	NA
 222.6741;	 222.0672;	 C10H11ClN4	C18507	 Acetamiprid;	 PubChem: 124489181	 CAS: 135410-20-7	NULL	NA	NA	NA	NA	NA
 214.6455;	 214.0397;	 C10H11ClO3	C13700	 Clofibric acid;	 PubChem: 586289	 CAS: 882-09-7	NULL	HMDB0250341	Benzenoids	Benzene and substituted derivatives	Phenoxyacetic acid derivatives	null
 214.6455;	 214.0397;	 C10H11ClO3	C18608	 Mecoprop-P; (R)-2-(4-Chloro-o-tolyloxy)propionic acid; (R)-2-(4-Chloro-2-methylphenoxy)propanoate; (R)-Mecoprop;	 PubChem: 124489282	 CAS: 16484-77-8	NULL	NA	NA	NA	NA	NA
 214.6455;	 214.0397;	 C10H11ClO3	C18742	 Mecoprop;	 PubChem: 124489416	 CAS: 93-65-2	NULL	HMDB0254398	Benzenoids	Benzene and substituted derivatives	2-phenoxypropionic acids	null
 214.6455;	 214.0397;	 C10H11ClO3	C20686	 (S)-2-(4-Chloro-2-methylphenoxy)propanoate; (S)-Mecoprop;	 PubChem: 172232406	NULL	NULL	NA	NA	NA	NA	NA
 232.2024;	 232.0823;	 C10H11F3N2O	C18853	 Fluometuron;	 PubChem: 124489525	 CAS: 2164-17-2	NULL	NA	NA	NA	NA	NA
 232.2024;	 232.0823;	 C10H11F3N2O	C19089	 Parafluron;	 PubChem: 124489761	 CAS: 7159-99-1	NULL	NA	NA	NA	NA	NA
 189.2138;	 189.0902;	 C10H11N3O	C19478	 N'-Nitrosoanatabine; NAT;	 PubChem: 124490150	 CAS: 71267-22-6	NULL	NA	NA	NA	NA	NA
 253.2776;	 253.0521;	 C10H11N3O3S	C07315	 Sulfamethoxazole;	 PubChem: 9523	 CAS: 723-46-6	NULL	HMDB0015150	Benzenoids	Benzene and substituted derivatives	Benzenesulfonamides	null
 221.2788;	 221.0623;	 C10H11N3OS	C10909	 Methabenzthiazuron;	 PubChem: 13092	 CAS: 18691-97-9	NULL	NA	NA	NA	NA	NA
 330.1907;	 330.0365;	 C10H11N4O7P	C00943	" 3',5'-Cyclic IMP; Inosine 3',5'-cyclic monophosphate;"	 PubChem: 4195	NULL	NULL	NA	NA	NA	NA	NA
 217.2272;	 217.0964;	 C10H11N5O	C18590	 Pymetrozine;	 PubChem: 124489264	 CAS: 123312-89-0	NULL	NA	NA	NA	NA	NA
 265.2254;	 265.0811;	 C10H11N5O4	C11500	 5'-Dehydroadenosine;	 PubChem: 13670	NULL	NULL	NA	NA	NA	NA	NA
 281.2248;	 281.076;	 C10H11N5O5	C11501	 9-Riburonosyladenine;	 PubChem: 13671	NULL	NULL	NA	NA	NA	NA	NA
 161.2004;	 161.0841;	 C10H11NO	C00955	 Indole-3-ethanol; Tryptophol;	 PubChem: 4206	 CAS: 526-55-6	 map00380 Tryptophan metabolism	HMDB0003447	Organoheterocyclic compounds	Indoles and derivatives	Indoles	Endogenous
 161.2004;	 161.0841;	 C10H11NO	C09915	" Boschniakine; (R)-6,7-Dihydro-7-methyl-5H-2-pyrindine-4-carbaldehyde;"	 PubChem: 12101	 CAS: 18070-40-1	NULL	HMDB0030267	Organoheterocyclic compounds	Pyridines and derivatives	Pyridine carboxaldehydes	Endogenous
 193.1992;	 193.0739;	 C10H11NO3	C03450	 (3-Arylcarbonyl)-alanine;	 PubChem: 6271	NULL	NULL	NA	NA	NA	NA	NA
 193.1992;	 193.0739;	 C10H11NO3	C05598	 Phenylacetylglycine;	 PubChem: 7922	 CAS: 500-98-1	 map00360 Phenylalanine metabolism	HMDB0000821	Organic acids and derivatives	Carboxylic acids and derivatives	"Amino acids, peptides, and analogues"	Endogenous
 193.1992;	 193.0739;	 C10H11NO3	C06726	" 5,6-Dihydroxy-3-methyl-2-oxo-1,2,5,6-tetrahydroquinoline;"	 PubChem: 8948	NULL	NULL	NA	NA	NA	NA	NA
 193.1992;	 193.0739;	 C10H11NO3	C09962	 Gentioflavine;	 PubChem: 12148	 CAS: 18058-50-9	NULL	NA	NA	NA	NA	NA
 193.1992;	 193.0739;	 C10H11NO3	C10581	 Cichorine;	 PubChem: 12764	 CAS: 114090-43-6	NULL	NA	NA	NA	NA	NA
 193.1992;	 193.0739;	 C10H11NO3	C16587	 3-Carbamoyl-2-phenylpropionaldehyde;	 PubChem: 51090914	NULL	 map00982 Drug metabolism - cytochrome P450	HMDB0060366	Benzenoids	Benzene and substituted derivatives	Phenylacetaldehydes	Endogenous
 193.1992;	 193.0739;	 C10H11NO3	C16595	" 4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one;"	 PubChem: 51090922	NULL	 map00982 Drug metabolism - cytochrome P450	HMDB0060389	Benzenoids	Benzene and substituted derivatives	null	Endogenous
 209.1986;	 209.0688;	 C10H11NO4	C03710	 N-Benzyloxycarbonylglycine; N-CBZ-glycine;	 PubChem: 6478	 CAS: 1138-80-3	NULL	NA	NA	NA	NA	NA
 209.1986;	 209.0688;	 C10H11NO4	C05596	 p-Hydroxyphenylacetylglycine; 4-Hydroxyphenylacetylglycine;	 PubChem: 7920	NULL	 map00350 Tyrosine metabolism	HMDB0000735	Organic acids and derivatives	Carboxylic acids and derivatives	"Amino acids, peptides, and analogues"	Endogenous
 209.1986;	 209.0688;	 C10H11NO4	C16591	 3-Carbamoyl-2-phenylpropionic acid;	 PubChem: 51090918	 CAS: 139262-66-1	 map00982 Drug metabolism - cytochrome P450	HMDB0060367	Benzenoids	Benzene and substituted derivatives	null	Endogenous
 225.198;	 225.0637;	 C10H11NO5	C11355	 4-Amino-4-deoxychorismate; ADC;	 PubChem: 13530	NULL	 map00790 Folate biosynthesis; map01240 Biosynthesis of cofactors	HMDB0304170	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives	null
 225.198;	 225.0637;	 C10H11NO5	C18054	" 2-Amino-2-deoxyisochorismate; (2S)-2-Amino-4-deoxychorismate; (2S,3S)-3-(1-Carboxyvinyloxy)-2,3-dihydroanthranilate;"	 PubChem: 96024274	NULL	 map00405 Phenazine biosynthesis; map01059 Biosynthesis of enediyne antibiotics; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites	NA	NA	NA	NA	NA
 225.198;	 225.0637;	 C10H11NO5	C22210	 4-Amino-4-deoxyprephenate;	 PubChem: 405226401	NULL	NULL	NA	NA	NA	NA	NA
 241.1974;	 241.0586;	 C10H11NO6	C04204	" N-(2,3-Dihydroxybenzoyl)-L-serine; 2,3-Dihydroxy-N-benzoyl-L-serine; 2,3-Dihydroxybenzoylserine;"	 PubChem: 6877	 CAS: 7724-78-9	NULL	NA	NA	NA	NA	NA
 132.2023;	 132.0939;	 C10H12	C14114	" Tetralin; 1,2,3,4-Tetrahydronaphthalene;"	 PubChem: 854350	 CAS: 119-64-2	 map00626 Naphthalene degradation; map01120 Microbial metabolism in diverse environments	HMDB0244120	Benzenoids	Tetralins	null	null
 132.2023;	 132.0939;	 C10H12	C14411	 Dicyclopentadiene;	 PubChem: 17395411	 CAS: 77-73-6	NULL	HMDB0251216	Hydrocarbons	Polycyclic hydrocarbons	null	null
 394.9151;	 391.8581;	 C10H12Br2Cl2O2	C17104	 Costatone;	 PubChem: 96023577	 CAS: 63023-59-6	NULL	NA	NA	NA	NA	NA
 394.0492;	 391.8805;	 C10H12BrCl2O3PS	C18966	 Bromophos-ethyl;	 PubChem: 124489638	 CAS: 4824-78-6	NULL	NA	NA	NA	NA	NA
 346.1374;	 345.0073;	 C10H12BrN5O4	C11266	 8-Bromoadenosine;	 PubChem: 13443	 CAS: 2946-39-6	NULL	NA	NA	NA	NA	NA
 235.1071;	 234.0214;	 C10H12Cl2O2	C19349	" 1,4-Bis(chloromethoxymethyl)benzene;"	 PubChem: 124490021	 CAS: 56894-91-8	NULL	NA	NA	NA	NA	NA
 333.5988;	 331.9361;	 C10H12Cl3O2PS	C19018	 Trichloronat;	 PubChem: 124489690	 CAS: 327-98-0	NULL	NA	NA	NA	NA	NA
 289.7386;	 289.0288;	 C10H12ClN3O3S	C07342	 Quinethazone;	 PubChem: 9549	 CAS: 73-49-4	NULL	HMDB0015420	Organoheterocyclic compounds	Diazanaphthalenes	Benzodiazines	null
 285.687;	 285.0629;	 C10H12ClN5O3	C19768	 5-Deoxy-5-chloroadenosine;	 PubChem: 135626235	 CAS: 892-48-8	NULL	NA	NA	NA	NA	NA
 213.6608;	 213.0557;	 C10H12ClNO2	C14506	 Chlorpropham; Chloropropham; N-3-Chlorophenylisopropylcarbamate;	 PubChem: 17395506	 CAS: 101-21-3	NULL	HMDB0250135	Benzenoids	Benzene and substituted derivatives	Phenylcarbamic acid esters	null
 213.6608;	 213.0557;	 C10H12ClNO2	C18950	 Carbanolate;	 PubChem: 124489622	 CAS: 671-04-5	NULL	NA	NA	NA	NA	NA
 213.6608;	 213.0557;	 C10H12ClNO2	C21605	 Arbaclofen; (R)-Baclofen;	 PubChem: 340125663	 CAS: 69308-37-8	NULL	NA	NA	NA	NA	NA
 245.6596;	 245.0455;	 C10H12ClNO4	C07930	 Chlorphenesin carbamate;	 PubChem: 10132	 CAS: 886-74-8	NULL	NA	NA	NA	NA	NA
 269.2324;	 269.0924;	 C10H12FN5O3	C19766	 5'-Deoxy-5'-fluoroadenosine;	 PubChem: 135626233	NULL	NULL	NA	NA	NA	NA	NA
 285.2318;	 285.0873;	 C10H12FN5O4	C21550	 Fludarabine; 2F-Ara-A;	 PubChem: 336445188	 CAS: 21679-14-1	NULL	NA	NA	NA	NA	NA
 537.3403;	 538.8691;	 C10H12MoN5O7PS3	C21486	 Thio-molybdenum cofactor;	 PubChem: 333497469	NULL	 map00790 Folate biosynthesis; map01100 Metabolic pathways	NA	NA	NA	NA	NA
 521.2747;	 522.8919;	 C10H12MoN5O8PS2	C18237	 Molybdoenzyme molybdenum cofactor; Molybdenum cofactor;	 PubChem: 103061419	 CAS: 73508-07-3	 map00790 Folate biosynthesis; map01100 Metabolic pathways; map01240 Biosynthesis of cofactors; map04122 Sulfur relay system	NA	NA	NA	NA	NA
 160.2157;	 160.1;	 C10H12N2	C00398	 Tryptamine; 3-(2-Aminoethyl)indole;	 PubChem: 3688	 CAS: 61-54-1	 map00380 Tryptophan metabolism; map00901 Indole alkaloid biosynthesis; map01060 Biosynthesis of plant secondary metabolites; map01063 Biosynthesis of alkaloids derived from shikimate pathway; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map04080 Neuroactive ligand-receptor interaction	HMDB0000303	Organoheterocyclic compounds	Indoles and derivatives	Tryptamines and derivatives	null
 160.2157;	 160.1;	 C10H12N2	C02548	 2-(2-Aminoethyl)indole;	 PubChem: 5552	 CAS: 496-42-4	NULL	HMDB0244913	Organoheterocyclic compounds	Indoles and derivatives	Indoles	null
 160.2157;	 160.1;	 C10H12N2	C07147	" Tolazoline; 4,5-Dihydro-2-(phenylmethyl)-1H-imidazole;"	 PubChem: 9356	 CAS: 59-98-3	NULL	HMDB0014935	Benzenoids	Benzene and substituted derivatives	null	null
 160.2157;	 160.1;	 C10H12N2	C10126	 Anatabine; (-)-Anatabine;	 PubChem: 12312	 CAS: 581-49-7	" map00960 Tropane, piperidine and pyridine alkaloid biosynthesis; map01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; map01110 Biosynthesis of secondary metabolites"	HMDB0004476	Organic nitrogen compounds	Organonitrogen compounds	Amines	Food
 160.2157;	 160.1;	 C10H12N2	C16906	 Anabaseine;	 PubChem: 96023400	 CAS: 3471-05-4	NULL	HMDB0248374	Organoheterocyclic compounds	Pyridines and derivatives	Hydropyridines	null
 160.2157;	 160.1;	 C10H12N2	C21154	" N-Methylmyosmine; 3-(4,5-Dihydro-1-methyl-1H-pyrrol-2-yl)pyridine; 3-(1-Methyl-4,5-dihydro-1H-pyrrol-2-yl)pyridine;"	 PubChem: 313369414	 CAS: 525-74-6	 map00760 Nicotinate and nicotinamide metabolism; map01100 Metabolic pathways; map01120 Microbial metabolism in diverse environments	NA	NA	NA	NA	NA
 160.2157;	 160.1;	 C10H12N2	C21602	 (1H-Indol-3-yl)-N-methylmethanamine;	 PubChem: 340125660	NULL	 map00999 Biosynthesis of various plant secondary metabolites; map01110 Biosynthesis of secondary metabolites	HMDB0038456	Organoheterocyclic compounds	Indoles and derivatives	Indoles	Food
