gene	KEGG.ID
Sptlc3	K00654
Sptlc1	K00654
Sat1	K00657
Sat2	K00657
Dlst	K00658
Baat	K00659
Acnat2	K00659
Acnat1	K00659
Fasn	K00665
Aanat	K00669
Naa30	K00670
Nmt1	K00671
Nmt2	K00671
Lrat	K00678
Ggt7	K00681
Ggt6	K00681
Ggct	K00682
Qpctl	K00683
Qpct	K00683
Ate1	K00685
Pygb	K00688
Pygl	K00688
Pygm	K00688
Gys1	K00693
Gys2	K00693
Ugt2b38	K00699
Ugt2b34	K00699
Ugt2b37	K00699
Ugt1a2	K00699
Ugt2b5	K00699
Ugt2b36	K00699
Ugt2b35	K00699
Ugt1a10	K00699
Ugt1a7c	K00699
Ugt1a5	K00699
Ugt1a9	K00699
Ugt1a6b	K00699
Ugt1a1	K00699
Ugt2a2	K00699
Ugt1a8	K00699
Ugt2b1	K00699
Ugt2a3	K00699
Ugt2a1	K00699
Ugt1a6a	K00699
Gbe1	K00700
Lalba	K00704
Abo	K00709
Galnt2	K00710
Galnt7	K00710
Galnt16	K00710
Galnt1	K00710
Galnt3	K00710
Galnt4	K00710
Galnt10	K00710
Galnt6	K00710
Galnt17	K00710
Galnt12	K00710
Galnt11	K00710
Galnt18	K00710
Galnt5	K00710
Galntl6	K00710
Galnt13	K00710
Galntl5	K00710
Galnt14	K00710
Galnt15	K00710
Wnt8a	K00714
Wnt8b	K00714
B3galt4	K00715
Fut8	K00717
Fut1	K00718
Fut2	K00718
Sec1	K00718
B3galnt1	K00719
Ugcg	K00720
Dpm1	K00721
Gbgt1	K00722
B4galnt1	K00725
Mgat1	K00726
Gcnt1	K00727
Pomt2	K00728
Pomt1	K00728
Alg5	K00729
C1galt1	K00731
B4galt7	K00733
B3galt6	K00734
B3gat1	K00735
Mgat2	K00736
Mgat3	K00737
Mgat4b	K00738
Mgat4a	K00738
Mgat4d	K00738
B3gnt6	K00739
B3gnt2	K00741
Gcnt2	K00742
Ggta1	K00743
Mgat5	K00744
Csgalnact1	K00746
Csgalnact2	K00746
Chpf	K00747
Has1	K00752
Has2	K00752
Has3	K00752
Upp1	K00757
Upp2	K00757
Tymp	K00758
Aprt	K00759
Naprt	K00763
Ppat	K00764
Qprt	K00767
Xylt2	K00771
Xylt1	K00771
Mtap	K00772
Parp16	K00774
Art3	K00775
Qtrt1	K00777
St6gal1	K00778
St6gal2	K00779
St3gal1	K00780
St3gal3	K00781
Elac1	K00784
Elac2	K00784
Fdps	K00787
Mat2b	K00789
Mat1a	K00789
Mat2a	K00789
Trit1	K00791
Srm	K00797
Mmab	K00798
Gstt3	K00799
Gsta1	K00799
Gsta2	K00799
Gsta3	K00799
Gsta4	K00799
Gstm1	K00799
Gstm2	K00799
Gstm3	K00799
Gstm4	K00799
Gstm5	K00799
Gstm6	K00799
Gstt1	K00799
Gstt2	K00799
Gsto1	K00799
Mgst2	K00799
Mgst1	K00799
Mgst3	K00799
Gsto2	K00799
Gstm7	K00799
Gstt4	K00799
Fdft1	K00801
Sms	K00802
Agps	K00803
Ggps1	K00804
Ltc4s	K00807
Dhps	K00809
Ubiad1	K00810
Gpt2	K00814
Gpt	K00814
Tat	K00815
Kyat3	K00816
Kyat1	K00816
Oat	K00819
Gfpt1	K00820
Gfpt2	K00820
Aadat	K00825
Bcat1	K00826
Bcat2	K00826
Agxt2	K00827
Agxt	K00830
Psat1	K00831
Hk1	K00844
Hk2	K00844
Hk3	K00844
Hkdc1	K00844
Khk	K00846
Galk1	K00849
Pfkl	K00850
Pfkm	K00850
Pfkp	K00850
Idnk	K00851
Rbks	K00852
Xylb	K00854
Adk	K00856
Tk1	K00857
Tk2	K00857
Nadk	K00858
Nadk2	K00858
Rfk	K00861
Tkfc	K00863
Gykl1	K00864
Gk2	K00864
Gk	K00864
Pdxk	K00868
Mvk	K00869
Phkg1	K00871
Phkg2	K00871
Pkm	K00873
Fggy	K00875
Uck1	K00876
Uckl1	K00876
Uck2	K00876
Nagk	K00884
Pi4ka	K00888
Pip5k1c	K00889
Pip5k1b	K00889
Pip5k1a	K00889
Dck	K00893
Etnk2	K00894
Etnk1	K00894
Pdk2	K00898
Pdk3	K00898
Pdk4	K00898
Dgkz	K00901
Dgkg	K00901
Dgkq	K00901
Dgka	K00901
Dgkb	K00901
Dgkd	K00901
Dgki	K00901
Dgkk	K00901
Dgkh	K00901
Dgke	K00901
Dolk	K00902
Dguok	K00904
Bckdk	K00905
Mylk	K00907
Mylk3	K00907
Mylk2	K00907
Mylk4	K00907
Camkk1	K00908
Grk1	K00909
Grk2	K00910
Grk3	K00910
Itpka	K00911
Itpkc	K00911
Itpkb	K00911
Itpk1	K00913
Pik3c3	K00914
Ipmk	K00915
Pip4k2b	K00920
Pip4k2c	K00920
Pip4k2a	K00920
Pikfyve	K00921
Pik3ca	K00922
Pik3cd	K00922
Pik3cb	K00922
Pik3c2a	K00923
Pik3c2g	K00923
Pik3c2b	K00923
Pgk1	K00927
Pgk2	K00927
Ckb	K00933
Ckmt1	K00933
Ckmt2	K00933
Ak1	K00939
Ak2	K00939
Ak4	K00939
Ak5	K00939
Ak8	K00939
Ak7	K00939
Nme7	K00940
Nme1	K00940
Nme2	K00940
Nme6	K00940
Nme4	K00940
Nme3	K00940
Guk1	K00942
Dtymk	K00943
Ak3	K00944
Prps2	K00948
Prps1	K00948
Prps1l3	K00948
Prps1l1	K00948
Tpk1	K00949
Flad1	K00953
Pnpt1	K00962
Ugp2	K00963
Galt	K00965
Gmppb	K00966
Gmppa	K00966
Pcyt2	K00967
Pcyt1a	K00968
Pcyt1b	K00968
Uap1	K00972
Uap1l1	K00972
Trnt1	K00974
Fpgt	K00976
Dntt	K00977
Cds2	K00981
Cds1	K00981
Selenoi	K00993
Chpt1	K00994
Pgs1	K00995
Cdipt	K00999
Dpagt1	K01001
Sephs1	K01008
Sephs2	K01008
Tst	K01011
Mpst	K01011
Tstd1	K01013
Sult1a1	K01014
Sult2b1	K01015
Sult1e1	K01016
Chst11	K01017
Gal3st1	K01019
Chst3	K01020
Tpst1	K01021
Tpst2	K01021
Chst1	K01022
Hs3st1	K01024
Sult1c1	K01025
Sult1d1	K01025
Sult1b1	K01025
Sult1c2	K01025
Oxct2b	K01027
Oxct2a	K01027
Oxct1	K01027
Ces1d	K01044
Ces1g	K01044
Ces1c	K01044
Ces1e	K01044
Ces1f	K01044
Ces1a	K01044
Ces1b	K01044
Ces1h	K01044
Pon1	K01045
Pon3	K01045
Pon2	K01045
Pla2g1b	K01047
Pla2g2a	K01047
Pla2g2c	K01047
Pla2g2d	K01047
Pla2g5	K01047
Pla2g3	K01047
Pla2g10	K01047
Pla2g2e	K01047
Pla2g2f	K01047
Pla2g12a	K01047
Pla2g12b	K01047
Ache	K01049
Bche	K01050
Lipa	K01052
Rgn	K01053
Mgll	K01054
Ptrh1	K01056
Pgls	K01057
Lpl	K01059
Cmbl	K01061
Pafah2	K01062
Pla2g7	K01062
Wnt9a	K01064
Wnt9b	K01064
Aoah	K01065
Acot12	K01067
Acot2	K01068
Acot3	K01068
Acot4	K01068
Acot5	K01068
Acot1	K01068
Hagh	K01069
Esd-ps	K01070
Esd	K01070
Olah	K01071
Ppt1	K01074
Ppt2	K01074
Abhd17a	K01076
Abhd17b	K01076
Abhd17c	K01076
Alpl	K01077
Akp3	K01077
Alppl2	K01077
Alpi	K01077
Psph	K01079
Plpp1	K01080
Plpp2	K01080
Plpp3	K01080
Nt5m	K01081
Nt5c1a	K01081
Nt5c	K01081
Nt5el	K01081
Nt5c1b	K01081
Nt5c2	K01081
Bpnt1	K01082
G6pc2	K01084
G6pc3	K01084
Impa2	K01092
Impa1	K01092
Nanp	K01097
Inpp5b	K01099
Ocrl	K01099
Pdp1	K01102
Pdp2	K01102
Pfkfb3	K01103
Inpp5a	K01106
Inpp1	K01107
Mtm1	K01108
Inpp4b	K01109
Inpp4a	K01109
Pten	K01110
Phpt1	K01112
Pld1	K01115
Pld2	K01115
Plcg1	K01116
Cnp	K01121
Enpp2	K01122
Gdpd2	K01124
Nagpa	K01125
Gpld1	K01127
Smpdl3b	K01128
Smpdl3a	K01128
Galns	K01132
Arsa	K01134
Arsb	K01135
Ids	K01136
Gns	K01137
Pnldc1	K01148
Parn	K01148
Trir	K01149
Dnase2a	K01158
Dnase2b	K01158
Pop1	K01164
Rnasel	K01165
Rnaset2a	K01166
Rnaset2b	K01166
Rnase1	K01168
Rnase2b	K01168
Rnase6	K01172
Endog	K01173
Amy2a1	K01176
Amy2a4	K01176
Amy2a3	K01176
Amy2a2	K01176
Amy2a5	K01176
Amy1	K01176
Amy2b	K01176
Chil6	K01183
Chit1	K01183
Chia1	K01183
Neu1	K01186
Gla	K01189
Man2c1	K01191
Manba	K01192
Treh	K01194
Gusb	K01195
Agl	K01196
Hyal3	K01197
Hyal1	K01197
Hyal2	K01197
Spam1	K01197
Hyal6	K01197
Hyal5	K01197
Hyal4	K01197
Galc	K01202
Sis	K01203
Naga	K01204
Naglu	K01205
Fuca2	K01206
Fuca1	K01206
Idua	K01217
Engase	K01227
Mogs	K01228
Lct	K01229
Man1a	K01230
Man1a2	K01230
Man1c1	K01230
Man2a2	K01231
Man2a1	K01231
Cd38	K01242
Adprh	K01245
Ahcyl1	K01251
Ahcy	K01251
Ahcyl2	K01251
Ephx1	K01253
Lta4h	K01254
Lnpep	K01257
Rnpep	K01260
Xpnpep1	K01262
Xpnpep3	K01262
Metap2	K01265
Metap1d	K01265
Metap1	K01265
Dnpep	K01267
Dpep1	K01273
Dpep2	K01273
Dpep3	K01273
Ctsc	K01275
Dpp7	K01276
Dpp3	K01277
Dpp4	K01278
Tpp1	K01279
Tpp2	K01280
Ace	K01283
Ace3	K01283
Prcp	K01285
Cpb1	K01291
Cpn1	K01292
Cpe	K01294
Cpm	K01296
Cpa2	K01298
Cpb2	K01300
Naaladl1	K01301
Naaladl2	K01301
Naalad2	K01301
Cpq	K01302
Apeh	K01303
Pgpep1	K01304
Trhde	K01306
Ggh	K01307
Mindy2	K01309
Mindy1	K01309
Ctrb1	K01310
Ctrc	K01311
Gm2663	K01312
Try5	K01312
Prss1	K01312
Prss2	K01312
Prss3	K01312
Try4	K01312
Try10	K01312
1810009J06Rik	K01312
F2	K01313
F10	K01314
Plg	K01315
Tmprss15	K01316
Acr	K01317
Ctsg	K01319
F7	K01320
F9	K01321
Prep	K01322
F11	K01323
Klkb1	K01324
Klk1b22	K01325
Klk1b9	K01325
Klk1	K01325
Klk1b11	K01325
Klk1b21	K01325
Klk1b24	K01325
Klk1b26	K01325
Klk1b27	K01325
Klk1b5	K01325
Klk1b1	K01325
Klk1b8	K01325
Klk1b3	K01325
Cela1	K01326
Elane	K01327
F12	K01328
Mcpt4	K01329
Cma1	K01329
C1ra	K01330
C1rb	K01330
C1s2	K01331
C1s1	K01331
C2	K01332
Cfi	K01333
Cfd	K01334
Cfb	K01335
Lonp2	K01338
Klk1b16	K01339
Tpsab1	K01340
Tpsb2	K01340
Plat	K01343
Proc	K01344
Cela3a	K01345
Cela3b	K01345
Cela2a	K01346
Plau	K01348
Furin	K01349
Prtn3	K01350
Gzma	K01352
Gzmb	K01353
Wnt10a	K01357
Wnt10b	K01357
Clpp	K01358
Pcsk1	K01359
Pcsk2	K01360
Ovch2	K01362
Ctsb	K01363
Ctsl	K01365
Ctsh	K01366
Capn1	K01367
Ctss	K01368
Lgmn	K01369
Casp1	K01370
Ctsk	K01371
Blmh	K01372
Ctsf	K01373
Ctso	K01374
Ufsp2	K01376
Pgc	K01377
Cym	K01378
Ctsd	K01379
Ren1	K01380
Ctse	K01382
Wnt11	K01384
Mmp1a	K01388
Mmp1b	K01388
Mme	K01389
Thop1	K01392
Nln	K01393
Mmp3	K01394
Mep1a	K01395
Mmp10	K01396
Mmp7	K01397
Mmp2	K01398
Mmp8	K01402
Mmp9	K01403
Ide	K01408
Osgep	K01409
Osgepl1	K01409
Mipep	K01410
Pmpca	K01412
Mmp12	K01413
Ece2	K01415
Ece1	K01415
Gls	K01425
Gls2	K01425
Upb1	K01431
Afmid	K01432
Btd	K01435
Aspa	K01437
Acer1	K01441
Acer2	K01441
Amdhd2	K01443
Aga	K01444
Pglyrp1	K01446
Pglyrp3	K01446
Pglyrp4	K01446
Pglyrp2	K01446
Ngly1	K01456
Pdf	K01462
Dpys	K01464
Amdhd1	K01468
Oplah	K01469
Arg1	K01476
Arg2	K01476
Allc	K01477
Padi1	K01481
Padi2	K01481
Padi3	K01481
Padi6	K01481
Ddah2	K01482
Ddah1	K01482
Gda	K01487
Ada	K01488
Cda	K01489
Ampd2	K01490
Ampd3	K01490
Ampd1	K01490
Dctd	K01493
Gch1	K01495
Ppa1	K01507
Ppa2	K01507
Entpd2	K01509
Entpd1	K01510
Entpd3	K01510
Entpd8	K01510
Entpd6	K01511
Entpd5	K01511
Acyp1	K01512
Acyp2	K01512
Enpp1	K01513
Enpp3	K01513
Prune1	K01514
Adprm	K01517
Nudt2	K01518
Itpa	K01519
Dut	K01520
Fhit	K01522
Btf3	K01527
Btf3l4	K01527
Dnm3	K01528
Dnm1	K01528
Atp10a	K01530
Atp10d	K01530
Atp8b4	K01530
Atp10b	K01530
Atp8b5	K01530
Atp9b	K01530
Atp8b2	K01530
Atp8b1	K01530
Atp8b3	K01530
Atp2c1	K01537
Atp2c2	K01537
Fxyd2	K01538
Atp1a1	K01539
Atp1a3	K01539
Atp1a4	K01539
Atp1a2	K01539
Atp1b1	K01540
Atp1b2	K01540
Atp1b3	K01540
Atp1b4	K01540
Atp4a	K01542
Atp4b	K01543
Atp12a	K01544
Fah	K01555
Kynu	K01556
Fahd1	K01557
Wnt16	K01558
Dio1	K01562
Sgsh	K01565
Mlycd	K01578
Gad1	K01580
Gad2	K01580
Odc1	K01581
Ldc1	K01581
Azin2	K01583
Paics	K01587
Hdc	K01590
Ddc	K01593
Pck1	K01596
Pck2	K01596
Mvd	K01597
Ppcdc	K01598
Urod	K01599
Amd2	K01611
Amd1	K01611
Pisd	K01613
Dera	K01619
Tha1	K01620
Aldoa	K01623
Aldoc	K01623
Aldob	K01623
Aldoart1	K01623
Aldoart2	K01623
Sgpl1	K01634
Npl	K01639
Hmgcl	K01640
Hmgcll1	K01640
Hmgcs2	K01641
Hmgcs1	K01641
Cer1	K01645
Cs	K01647
Csl	K01647
Acly	K01648
Car8	K01672
Car1	K01672
Car3	K01672
Car5a	K01672
Car6	K01672
Car7	K01672
Car9	K01672
Car14	K01672
Car5b	K01672
Car13	K01672
Car12	K01672
Car15	K01672
Fh1	K01679
Aco1	K01681
Aco2	K01681
Eno1	K01689
Eno2	K01689
Eno3	K01689
Eno1b	K01689
Wif1	K01691
Cbs	K01697
Alad	K01698
Tgds	K01710
Gmds	K01711
Uroc1	K01712
Uros	K01719
Pcbd1	K01724
Pcbd2	K01724
Pts	K01737
Hal	K01745
Hmbs	K01749
Asl	K01755
Adsl	K01756
Cth	K01758
Glo1	K01759
Scly	K01763
Hccs	K01764
Fech	K01772
Rpe	K01783
Gale	K01784
Galm	K01785
Renbp	K01787
Glce	K01793
Dse	K01794
Dsel	K01794
Amacr	K01796
Gstz1	K01800
Tpi1	K01803
Rpia	K01807
Mpi	K01809
Gpi1	K01810
Hyi	K01816
Idi1	K01823
Idi2	K01823
Ebp	K01824
Dct	K01827
Ptgds	K01830
Ptgis	K01831
Tbxas1	K01832
Pgam1	K01834
Pgam2	K01834
Pgm1	K01835
Pgm3	K01836
Bpgm	K01837
Mmut	K01847
Lss	K01852
Pus3	K01855
Isyna1	K01858
Yars2	K01866
Wars2	K01867
Tars2	K01868
Lars2	K01869
Iars2	K01870
Aars2	K01872
Vars2	K01873
Mars2	K01874
Mars1	K01874
Sars2	K01875
Dars2	K01876
Pars2	K01881
Cars2	K01883
Ears2	K01885
Rars2	K01887
Farsa	K01889
Fars2	K01889
Farsb	K01890
Hars2	K01892
Nars2	K01893
Acss2	K01895
Acss1	K01895
Acsm3	K01896
Acsm2	K01896
Acsm4	K01896
Acsm5	K01896
Acsl1	K01897
Acsl6	K01897
Acsl5	K01897
Acsl4	K01897
Acsl3	K01897
Suclg1	K01899
Sucla2	K01900
Suclg2	K01900
Aacs	K01907
Acss3	K01908
Glul	K01915
Ppcs	K01922
Fpgs	K01930
Neurl1a	K01931
Neurl1b	K01931
Mthfsl	K01934
Mthfs	K01934
Ctps2	K01937
Ass1	K01940
Hlcs	K01942
Acacb	K01946
Cps1	K01948
Nadsyn1	K01950
Gmps	K01951
Pfas	K01952
Asns	K01953
Pcx	K01958
Pcca	K01965
Pccb	K01966
Mccc1	K01968
Mccc2	K01969
Rtca	K01974
n-R5s100	K01981
n-R5s103	K01981
n-R5s104	K01981
n-R5s105	K01981
n-R5s108	K01981
n-R5s110	K01981
n-R5s111	K01981
n-R5s113	K01981
Gm25018	K01981
n-R5s117	K01981
n-R5s121	K01981
n-R5s122	K01981
n-R5s123	K01981
n-R5s124	K01981
n-R5s128	K01981
Gm26391	K01981
n-R5s133	K01981
n-R5s134	K01981
n-R5s136	K01981
n-R5s138	K01981
n-R5s139	K01981
Gm22109	K01981
n-R5s141	K01981
n-R5s142	K01981
n-R5s143	K01981
n-R5s144	K01981
Gm25212	K01981
n-R5s146	K01981
Gm22291	K01981
Gm23284	K01981
n-R5s149	K01981
Rn5s	K01981
A4galt	K01988
Apaf1	K02084
Apc	K02085
Apc2	K02085
Cdk1	K02087
Cdk4	K02089
Cdk5	K02090
Cdk6	K02091
Spire2	K02098
Spire1	K02098
Ctnnb1	K02105
Atp5pb	K02127
Atp6v1h	K02144
Atp6v1a	K02145
Atp6v0d1	K02146
Atp6v0d2	K02146
Atp6v1b1	K02147
Atp6v1b2	K02147
Atp6v1c1	K02148
Atp6v1c2	K02148
Atp6v1d	K02149
Atp6v1e1	K02150
Atp6v1e2	K02150
Atp6v1f	K02151
Atp6v1g3	K02152
Atp6v1g2	K02152
Atp6v1g1	K02152
Atp6v0e	K02153
Atp6v0e2	K02153
Atp6v0a1	K02154
Atp6v0a4	K02154
Atp6v0a2	K02154
Tcirg1	K02154
Atp6v0c	K02155
Piwil4	K02156
Piwil2	K02156
Piwil1	K02156
Axin1	K02157
Bad	K02158
Bax	K02159
Bcl2	K02161
Bcl2a1a	K02162
Bcl2a1b	K02162
Bcl2a1c	K02162
Bcl2a1d	K02162
Bcl2l2	K02163
Dkk1	K02165
Dkk4	K02165
Dkk2	K02165
Sfrp1	K02166
Sfrp2	K02176
Bub1	K02178
Bub3	K02180
Calm1	K02183
Calm2	K02183
Calm3	K02183
Calm5	K02183
Calml3	K02183
Calml4	K02183
Calm4	K02183
Fmn2	K02184
Sfrp4	K02185
Casp2	K02186
Casp3	K02187
Cdk7	K02202
Cdk2	K02206
Cdc34	K02207
Ube2r2	K02207
Cdk8	K02208
Cdk19	K02208
Mcm5	K02209
Mcm7	K02210
Cdk9	K02211
Mcm4	K02212
Cdc6	K02213
Cdc7	K02214
Chek1	K02216
Gm6340	K02219
Cks1b	K02219
Cks1brt	K02219
Cks2	K02219
Sfrp5	K02222
Clock	K02223
Fzd2	K02235
Cox10	K02257
Cox11	K02258
Cox15	K02259
Cox17	K02260
Cox4i1	K02263
Cox4i2	K02263
Gm11633	K02264
Cox5a	K02264
Cox5b	K02265
Cox6a1	K02266
Cox6a2	K02266
Cox6b1	K02267
Cox6b2	K02267
Cox6c	K02268
Cox7a1	K02270
Cox7a2	K02270
Cox7a2l	K02270
Cox7b	K02271
Cox7b2	K02271
Cox7c	K02272
Cox8a	K02273
Cox8b	K02273
Cox8c	K02273
Cry1	K02295
Cry2	K02295
Daxx	K02308
Dffa	K02310
Dffb	K02311
Coasy	K02318
Pola1	K02320
Pola2	K02321
Pole	K02324
Pole2	K02325
Pole3	K02326
Pold1	K02327
Pold2	K02328
Fzd3	K02329
Polb	K02330
Mybbp1a	K02331
Polg	K02332
Polg2	K02333
Polq	K02349
Rev3l	K02350
Dvl1	K02353
Dvl2	K02353
Dvl3	K02353
Fzd4	K02354
Gfm1	K02355
Gfm2	K02355
Tsfm	K02357
Tufm	K02358
Espl1	K02365
Ext1	K02366
Ext2	K02367
Extl1	K02368
Extl2	K02369
Extl3	K02370
Fadd	K02373
Ptpn13	K02374
Fzd5	K02375
Fzd8	K02375
Fzd6	K02376
Mrm2	K02427
Fuom	K02431
Fzd1	K02432
Fzd7	K02432
Qrsl1	K02433
Gatb	K02434
Gatc	K02435
Gcsh	K02437
Cdk10	K02449
Hemk1	K02493
Hint1	K02503
Hint2	K02503
Hrk	K02512
Hs2st1	K02513
Hs6st1	K02514
Prmt5	K02516
Mtif2	K02519
Mtif3	K02520
Mad2l1	K02537
Mcl1	K02539
Mcm2	K02540
Mcm3	K02541
Mcm6	K02542
Bok	K02561
Gnpda1	K02564
Gnpda2	K02564
Ndst1	K02576
Ndst2	K02577
Ndst3	K02578
Ndst4	K02579
Nfkb1	K02580
Nfkbib	K02581
Ngf	K02582
Ngfr	K02583
Notch1	K02599
Cpeb1	K02602
Cpeb3	K02602
Cpeb2	K02602
Cpeb4	K02602
Orc1	K02603
Orc2	K02604
Orc3	K02605
Orc4	K02606
Orc5	K02607
Orc6	K02608
Tcf7	K02620
Per2	K02633
Pik3r1	K02649
Pik3r2	K02649
Pik3r3	K02649
Prkca	K02677
Ets1	K02678
Prim1	K02684
Prim2	K02685
Psma1	K02725
Psma2	K02726
Psma3	K02727
Psma4	K02728
Psma5	K02729
Psma6	K02730
Psma7	K02731
Psma8	K02731
Psmb1	K02732
Psmb10	K02733
Psmb2	K02734
Psmb3	K02735
Psmb4	K02736
Psmb5	K02737
Psmb6	K02738
Psmb7	K02739
Psmb8	K02740
Psmb9	K02741
Rad1	K02830
Cradd	K02832
Hras	K02833
Mtrf1l	K02835
Mtrf1	K02835
Mrrf	K02838
Fzd9	K02842
Fzd10	K02842
Rhbdl1	K02857
Rhbdl2	K02857
Rhbdl3	K02857
