Molecular Weight	Formula	Name	KEGG ID	HMDB ID	Final Class	Pathway	ID
75.03199	C2 H5 N O2	Glycine	C00037	HMDB0000123	Amino acids	"map00120 Primary bile acid biosynthesis; map00230 Purine metabolism; map00260 Glycine, serine and threonine metabolism; map00310 Lysine degradation; map00440 Phosphonate and phosphinate metabolism; map00460 Cyanoamino acid metabolism; map00480 Glutathione metabolism; map00630 Glyoxylate and dicarboxylate metabolism; map00680 Methane metabolism; map00730 Thiamine metabolism; map00860 Porphyrin and chlorophyll metabolism; map00970 Aminoacyl-tRNA biosynthesis; map00997 Biosynthesis of various secondary metabolites - part 3; map01060 Biosynthesis of plant secondary metabolites; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01130 Biosynthesis of antibiotics; map01200 Carbon metabolism; map01230 Biosynthesis of amino acids; map01502 Vancomycin resistance; map02010 ABC transporters; map02026 Biofilm formation - Escherichia coli; map04080 Neuroactive ligand-receptor interaction; map04721 Synaptic vesicle cycle; map04974 Protein digestion and absorption; map04978 Mineral absorption; map05230 Central carbon metabolism in cancer"	C00037
89.04785	C3 H7 N O2	L-Alanine	C00041	HMDB0000161	Amino acids	"map00250 Alanine, aspartate and glutamate metabolism; map00270 Cysteine and methionine metabolism; map00430 Taurine and hypotaurine metabolism; map00450 Selenocompound metabolism; map00473 D-Alanine metabolism; map00710 Carbon fixation in photosynthetic organisms; map00970 Aminoacyl-tRNA biosynthesis; map00998 Biosynthesis of various secondary metabolites - part 2; map01060 Biosynthesis of plant secondary metabolites; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01200 Carbon metabolism; map01230 Biosynthesis of amino acids; map01502 Vancomycin resistance; map02010 ABC transporters; map04122 Sulfur relay system; map04974 Protein digestion and absorption; map04978 Mineral absorption; map05230 Central carbon metabolism in cancer"	C00041
607.08207	C17 H27 N3 O17 P2	UDP-N-acetylglucosamine	C00043	HMDB0000290	Nucleic acids and analogues	"map00520 Amino sugar and nucleotide sugar metabolism; map00524 Neomycin, kanamycin and gentamicin biosynthesis; map00540 Lipopolysaccharide biosynthesis; map00550 Peptidoglycan biosynthesis; map01100 Metabolic pathways; map01130 Biosynthesis of antibiotics; map01502 Vancomycin resistance; map04931 Insulin resistance"	C00043
146.10545	C6 H14 N2 O2	L-Lysine	C00047	HMDB0000182	Amino acids	"map00300 Lysine biosynthesis; map00310 Lysine degradation; map00780 Biotin metabolism; map00960 Tropane, piperidine and pyridine alkaloid biosynthesis; map00970 Aminoacyl-tRNA biosynthesis; map00997 Biosynthesis of various secondary metabolites - part 3; map01060 Biosynthesis of plant secondary metabolites; map01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01130 Biosynthesis of antibiotics; map01210 2-Oxocarboxylic acid metabolism; map01230 Biosynthesis of amino acids; map02010 ABC transporters; map04974 Protein digestion and absorption"	C00047
307.08386	C10 H17 N3 O6 S	L-Glutathione reduced	C00051	HMDB0000125	"Amino acids, peptides, and analogues"	map00270 Cysteine and methionine metabolism; map00480 Glutathione metabolism; map01100 Metabolic pathways; map02010 ABC transporters; map04216 Ferroptosis; map04918 Thyroid hormone synthesis; map04976 Bile secretion	C00051
427.0294	C10 H15 N5 O10 P2	"Adenosine 3',5'-diphosphate"	C00054	HMDB0000061	Purines and derivatives	map00230 Purine metabolism; map00532 Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate; map00534 Glycosaminoglycan biosynthesis - heparan sulfate / heparin; map00770 Pantothenate and CoA biosynthesis; map00920 Sulfur metabolism; map01100 Metabolic pathways	C00054
323.05184	C9 H14 N3 O8 P	Cytidine 5'-monophosphate	C00055	HMDB0000095	Nucleic acids and analogues	map00240 Pyrimidine metabolism; map01100 Metabolic pathways	C00055
174.11187	C6 H14 N4 O2	L-arginine	C00062	HMDB0000517	Amino acids	"map00220 Arginine biosynthesis; map00261 Monobactam biosynthesis; map00330 Arginine and proline metabolism; map00331 Clavulanic acid biosynthesis; map00472 D-Arginine and D-ornithine metabolism; map00970 Aminoacyl-tRNA biosynthesis; map00997 Biosynthesis of various secondary metabolites - part 3; map01060 Biosynthesis of plant secondary metabolites; map01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01130 Biosynthesis of antibiotics; map01230 Biosynthesis of amino acids; map02010 ABC transporters; map04150 mTOR signaling pathway; map04974 Protein digestion and absorption; map05014 Amyotrophic lateral sclerosis (ALS); map05132 Salmonella infection; map05142 Chagas disease (American trypanosomiasis); map05146 Amoebiasis; map05230 Central carbon metabolism in cancer"	C00062
146.06906	C5 H10 N2 O3	L-Glutamine	C00064	HMDB0000641	Amino acids	"map00220 Arginine biosynthesis; map00230 Purine metabolism; map00240 Pyrimidine metabolism; map00250 Alanine, aspartate and glutamate metabolism; map00471 D-Glutamine and D-glutamate metabolism; map00630 Glyoxylate and dicarboxylate metabolism; map00910 Nitrogen metabolism; map00970 Aminoacyl-tRNA biosynthesis; map01060 Biosynthesis of plant secondary metabolites; map01100 Metabolic pathways; map01120 Microbial metabolism in diverse environments; map01230 Biosynthesis of amino acids; map02010 ABC transporters; map02020 Two-component system; map04724 Glutamatergic synapse; map04727 GABAergic synapse; map04964 Proximal tubule bicarbonate reclamation; map04974 Protein digestion and absorption; map04978 Mineral absorption; map05230 Central carbon metabolism in cancer"	C00064
105.04271	C3 H7 N O3	L-Serine	C00065	HMDB0000187	Amino acids	"map00260 Glycine, serine and threonine metabolism; map00261 Monobactam biosynthesis; map00270 Cysteine and methionine metabolism; map00460 Cyanoamino acid metabolism; map00600 Sphingolipid metabolism; map00630 Glyoxylate and dicarboxylate metabolism; map00680 Methane metabolism; map00920 Sulfur metabolism; map00970 Aminoacyl-tRNA biosynthesis; map00997 Biosynthesis of various secondary metabolites - part 3; map01060 Biosynthesis of plant secondary metabolites; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01130 Biosynthesis of antibiotics; map01200 Carbon metabolism; map01230 Biosynthesis of amino acids; map01502 Vancomycin resistance; map02010 ABC transporters; map04071 Sphingolipid signaling pathway; map04974 Protein digestion and absorption; map04978 Mineral absorption; map05230 Central carbon metabolism in cancer"	C00065
149.05128	C5 H11 N O2 S	L-Methionine	C00073	HMDB0000696	Amino acids	map00270 Cysteine and methionine metabolism; map00966 Glucosinolate biosynthesis; map00970 Aminoacyl-tRNA biosynthesis; map01060 Biosynthesis of plant secondary metabolites; map01070 Biosynthesis of plant hormones; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01210 2-Oxocarboxylic acid metabolism; map01230 Biosynthesis of amino acids; map01523 Antifolate resistance; map04974 Protein digestion and absorption; map04978 Mineral absorption; map05230 Central carbon metabolism in cancer	C00073
132.0901	C5 H12 N2 O2	L-ornithine	C00077	HMDB0000214	"Amino acids, peptides, and analogues"	"map00220 Arginine biosynthesis; map00330 Arginine and proline metabolism; map00472 D-Arginine and D-ornithine metabolism; map00480 Glutathione metabolism; map00997 Biosynthesis of various secondary metabolites - part 3; map01060 Biosynthesis of plant secondary metabolites; map01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01130 Biosynthesis of antibiotics; map01210 2-Oxocarboxylic acid metabolism; map01230 Biosynthesis of amino acids; map02010 ABC transporters"	C00077
172.0138	C3 H9 O6 P	Sn-glycerol 3-phosphate	C00093	HMDB0000126	Glycerophospholipids[GP]	map00561 Glycerolipid metabolism; map00564 Glycerophospholipid metabolism; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map02010 ABC transporters; map05231 Choline metabolism in cancer	C00093
121.01992	C3 H7 N O2 S	L-Cysteine	C00097	HMDB0000574	Amino acids	"map00260 Glycine, serine and threonine metabolism; map00270 Cysteine and methionine metabolism; map00311 Penicillin and cephalosporin biosynthesis; map00332 Carbapenem biosynthesis; map00430 Taurine and hypotaurine metabolism; map00460 Cyanoamino acid metabolism; map00480 Glutathione metabolism; map00730 Thiamine metabolism; map00770 Pantothenate and CoA biosynthesis; map00920 Sulfur metabolism; map00970 Aminoacyl-tRNA biosynthesis; map01060 Biosynthesis of plant secondary metabolites; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01130 Biosynthesis of antibiotics; map01200 Carbon metabolism; map01230 Biosynthesis of amino acids; map04122 Sulfur relay system; map04216 Ferroptosis; map04974 Protein digestion and absorption; map05230 Central carbon metabolism in cancer"	C00097
89.04775	C3 H7 N O2	Beta-Alanine	C00099	HMDB0000056	"Amino acids, peptides, and analogues"	map00240 Pyrimidine metabolism; map00410 beta-Alanine metabolism; map00640 Propanoate metabolism; map00770 Pantothenate and CoA biosynthesis; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map04080 Neuroactive ligand-receptor interaction; map04974 Protein digestion and absorption	C00099
260.02964	C6 H13 O9 P	Glucose 1-phosphate	C00103	HMDB0001586	Carbohydrates	map00010 Glycolysis / Gluconeogenesis; map00040 Pentose and glucuronate interconversions; map00052 Galactose metabolism; map00500 Starch and sucrose metabolism; map00520 Amino sugar and nucleotide sugar metabolism; map00521 Streptomycin biosynthesis; map00523 Polyketide sugar unit biosynthesis; map00525 Acarbose and validamycin biosynthesis; map00561 Glycerolipid metabolism; map01060 Biosynthesis of plant secondary metabolites; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01130 Biosynthesis of antibiotics; map04922 Glucagon signaling pathway	C00103
324.03578	C9 H13 N2 O9 P	Uridine 5'-monophosphate	C00105	HMDB0000288	Nucleic acids and analogues	map00240 Pyrimidine metabolism; map01100 Metabolic pathways	C00105
112.02736	C4 H4 N2 O2	Uracil	C00106	HMDB0000300	Organoheterocyclic compounds	map00240 Pyrimidine metabolism; map00410 beta-Alanine metabolism; map00770 Pantothenate and CoA biosynthesis; map01100 Metabolic pathways	C00106
137.04787	C7 H7 N O2	2-Aminobenzoic acid	C00108	HMDB0001123	Benzene and derivatives	"map00380 Tryptophan metabolism; map00400 Phenylalanine, tyrosine and tryptophan biosynthesis; map00405 Phenazine biosynthesis; map00621 Dioxin degradation; map00627 Aminobenzoate degradation; map00998 Biosynthesis of various secondary metabolites - part 2; map01058 Acridone alkaloid biosynthesis; map01060 Biosynthesis of plant secondary metabolites; map01061 Biosynthesis of phenylpropanoids; map01063 Biosynthesis of alkaloids derived from shikimate pathway; map01070 Biosynthesis of plant hormones; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01130 Biosynthesis of antibiotics; map01220 Degradation of aromatic compounds; map01230 Biosynthesis of amino acids; map07110 Benzoic acid family"	C00108
103.09961	C5 H13 N O	Choline	C00114	HMDB0000097	Organic nitrogen compounds	"map00260 Glycine, serine and threonine metabolism; map00564 Glycerophospholipid metabolism; map01100 Metabolic pathways; map02010 ABC transporters; map04725 Cholinergic synapse; map04976 Bile secretion; map05231 Choline metabolism in cancer"	C00114
131.09464	C6 H13 N O2	Leucine	C00123	HMDB0000687	Amino acids	"map00280 Valine, leucine and isoleucine degradation; map00290 Valine, leucine and isoleucine biosynthesis; map00966 Glucosinolate biosynthesis; map00970 Aminoacyl-tRNA biosynthesis; map01060 Biosynthesis of plant secondary metabolites; map01065 Biosynthesis of alkaloids derived from histidine and purine; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01210 2-Oxocarboxylic acid metabolism; map01230 Biosynthesis of amino acids; map02010 ABC transporters; map04150 mTOR signaling pathway; map04974 Protein digestion and absorption; map04978 Mineral absorption; map05131 Shigellosis; map05230 Central carbon metabolism in cancer"	C00123
612.15265	C20 H32 N6 O12 S2	L-Glutathione oxidized	C00127	HMDB0003337	"Amino acids, peptides, and analogues"	map00480 Glutathione metabolism; map01100 Metabolic pathways; map04216 Ferroptosis; map04918 Thyroid hormone synthesis	C00127
348.04741	C10 H13 N4 O8 P	Inosine 5'-phosphate	C00130	HMDB0000175	Purines and derivatives	map00230 Purine metabolism; map01060 Biosynthesis of plant secondary metabolites; map01065 Biosynthesis of alkaloids derived from histidine and purine; map01070 Biosynthesis of plant hormones; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01130 Biosynthesis of antibiotics; map01523 Antifolate resistance; map04742 Taste transduction	C00130
89.04778	C3 H7 N O2	D-Alanine	C00133	HMDB0001310	"Amino acids, peptides, and analogues"	NA	C00133
155.06961	C6 H9 N3 O2	L-Histidine	C00135	HMDB0000177	Amino acids	map00340 Histidine metabolism; map00410 beta-Alanine metabolism; map00970 Aminoacyl-tRNA biosynthesis; map01060 Biosynthesis of plant secondary metabolites; map01065 Biosynthesis of alkaloids derived from histidine and purine; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01230 Biosynthesis of amino acids; map02010 ABC transporters; map04974 Protein digestion and absorption; map05230 Central carbon metabolism in cancer	C00135
363.05807	C10 H14 N5 O8 P	Guanosine 5'-monophosphate	C00144	HMDB0001397	Purines and derivatives	map00230 Purine metabolism; map01060 Biosynthesis of plant secondary metabolites; map01065 Biosynthesis of alkaloids derived from histidine and purine; map01100 Metabolic pathways; map01523 Antifolate resistance; map04022 cGMP-PKG signaling pathway; map04740 Olfactory transduction; map04742 Taste transduction; map04744 Phototransduction	C00144
135.05456	C5 H5 N5	Adenine	C00147	HMDB0000034	Purines and derivatives	map00230 Purine metabolism; map00908 Zeatin biosynthesis; map01100 Metabolic pathways	C00147
115.06327	C5 H9 N O2	L-Proline	C00148	HMDB0000162	Amino acids	map00330 Arginine and proline metabolism; map00332 Carbapenem biosynthesis; map00333 Prodigiosin biosynthesis; map00401 Novobiocin biosynthesis; map00404 Staurosporine biosynthesis; map00970 Aminoacyl-tRNA biosynthesis; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01130 Biosynthesis of antibiotics; map01230 Biosynthesis of amino acids; map02010 ABC transporters; map04974 Protein digestion and absorption; map04978 Mineral absorption; map05230 Central carbon metabolism in cancer	C00148
132.0534	C4 H8 N2 O3	L-Asparagine	C00152	HMDB0000168	Amino acids	"map00250 Alanine, aspartate and glutamate metabolism; map00460 Cyanoamino acid metabolism; map00970 Aminoacyl-tRNA biosynthesis; map01060 Biosynthesis of plant secondary metabolites; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01230 Biosynthesis of amino acids; map04974 Protein digestion and absorption; map04978 Mineral absorption; map05230 Central carbon metabolism in cancer"	C00152
122.04825	C6 H6 N2 O	Niacinamide	C00153	HMDB0001406	Pyridine and derivatives	map00760 Nicotinate and nicotinamide metabolism; map01100 Metabolic pathways; map04212 Longevity regulating pathway - worm; map04977 Vitamin digestion and absorption	C00153
102.03193	C4 H6 O3	Acetoacetate	C00164	HMDB0000060	Organic acids	"map00072 Synthesis and degradation of ketone bodies; map00280 Valine, leucine and isoleucine degradation; map00310 Lysine degradation; map00350 Tyrosine metabolism; map00640 Propanoate metabolism; map00643 Styrene degradation; map00650 Butanoate metabolism; map01100 Metabolic pathways; map01120 Microbial metabolism in diverse environments; map02020 Two-component system"	C00164
297.08956	C11 H15 N5 O3 S	5'-methylthioadenosine	C00170	HMDB0001173	Nucleic acids and analogues	map00270 Cysteine and methionine metabolism; map00908 Zeatin biosynthesis; map01060 Biosynthesis of plant secondary metabolites; map01100 Metabolic pathways	C00170
126.04316	C5 H6 N2 O2	Thymine	C00178	HMDB0000262	Organoheterocyclic compounds	map00240 Pyrimidine metabolism; map01100 Metabolic pathways	C00178
119.05816	C4 H9 N O3	L-Threonine	C00188	HMDB0000167	Amino acids	"map00260 Glycine, serine and threonine metabolism; map00261 Monobactam biosynthesis; map00290 Valine, leucine and isoleucine biosynthesis; map00860 Porphyrin and chlorophyll metabolism; map00970 Aminoacyl-tRNA biosynthesis; map00997 Biosynthesis of various secondary metabolites - part 3; map01060 Biosynthesis of plant secondary metabolites; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01130 Biosynthesis of antibiotics; map01230 Biosynthesis of amino acids; map02010 ABC transporters; map04974 Protein digestion and absorption; map04978 Mineral absorption"	C00188
178.04792	C6 H10 O6	Gluconolactone	C00198	HMDB0000150	Carbohydrates	map00030 Pentose phosphate pathway; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01130 Biosynthesis of antibiotics; map01200 Carbon metabolism	C00198
267.09684	C10 H13 N5 O4	Adenosine	C00212	HMDB0000050	Purines and derivatives	map00230 Purine metabolism; map01100 Metabolic pathways; map02010 ABC transporters; map04022 cGMP-PKG signaling pathway; map04024 cAMP signaling pathway; map04071 Sphingolipid signaling pathway; map04080 Neuroactive ligand-receptor interaction; map04270 Vascular smooth muscle contraction; map04923 Regulation of lipolysis in adipocytes; map04924 Renin secretion; map05012 Parkinson disease; map05032 Morphine addiction; map05034 Alcoholism	C00212
242.09045	C10 H14 N2 O5	Thymidine	C00214	HMDB0000273	Nucleic acids and analogues	map00240 Pyrimidine metabolism; map01100 Metabolic pathways	C00214
304.24031	C20 H32 O2	Arachidonic acid	C00219	HMDB0001043	Fatty acyls[FA]	map00590 Arachidonic acid metabolism; map00591 Linoleic acid metabolism; map01040 Biosynthesis of unsaturated fatty acids; map01100 Metabolic pathways; map04216 Ferroptosis; map04217 Necroptosis; map04270 Vascular smooth muscle contraction; map04611 Platelet activation; map04664 Fc epsilon RI signaling pathway; map04666 Fc gamma R-mediated phagocytosis; map04723 Retrograde endocannabinoid signaling; map04726 Serotonergic synapse; map04730 Long-term depression; map04745 Phototransduction - fly; map04750 Inflammatory mediator regulation of TRP channels; map04912 GnRH signaling pathway; map04913 Ovarian steroidogenesis; map04921 Oxytocin signaling pathway; map04923 Regulation of lipolysis in adipocytes; map04925 Aldosterone synthesis and secretion; map05140 Leishmaniasis; map05146 Amoebiasis; map07034 Eicosanoids	C00219
151.04929	C5 H5 N5 O	Guanine	C00242	HMDB0000132	Purines and derivatives	map00230 Purine metabolism; map01100 Metabolic pathways	C00242
125.01486	C2 H7 N O3 S	Taurine	C00245	HMDB0000251	Organic acids	map00120 Primary bile acid biosynthesis; map00430 Taurine and hypotaurine metabolism; map00920 Sulfur metabolism; map01100 Metabolic pathways; map02010 ABC transporters; map04080 Neuroactive ligand-receptor interaction	C00245
123.03228	C6 H5 N O2	Nicotinate	C00253	HMDB0001488	Pyridine and derivatives	"map00760 Nicotinate and nicotinamide metabolism; map00960 Tropane, piperidine and pyridine alkaloid biosynthesis; map01060 Biosynthesis of plant secondary metabolites; map01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map05133 Pertussis"	C00253
376.13842	C17 H20 N4 O6	Riboflavin	C00255	HMDB0000244	Pteridines and derivatives	map00740 Riboflavin metabolism; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map02010 ABC transporters; map04977 Vitamin digestion and absorption	C00255
136.03825	C5 H4 N4 O	Hypoxanthine	C00262	HMDB0000157	Purines and derivatives	map00230 Purine metabolism; map01100 Metabolic pathways	C00262
309.10665	C11 H19 N O9	N-acetylneuraminate	C00270	HMDB0000230	Carbohydrates	map00520 Amino sugar and nucleotide sugar metabolism; map01100 Metabolic pathways	C00270
260.02943	C6 H13 O9 P	D-mannose 6-phosphate	C00275	HMDB0001078	Carbohydrates	map00051 Fructose and mannose metabolism; map00520 Amino sugar and nucleotide sugar metabolism; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01130 Biosynthesis of antibiotics; map02060 Phosphotransferase system (PTS); map04142 Lysosome	C00275
93.058	C6 H7 N	Aniline	C00292	HMDB0003012	Benzene and derivatives	map00627 Aminobenzoate degradation; map01120 Microbial metabolism in diverse environments	C00292
268.0809	C10 H12 N4 O5	Inosine	C00294	HMDB0000195	Purines and derivatives	map00230 Purine metabolism; map01100 Metabolic pathways; map02010 ABC transporters	C00294
244.06966	C9 H12 N2 O6	Uridine	C00299	HMDB0000296	Nucleic acids and analogues	map00240 Pyrimidine metabolism; map01100 Metabolic pathways; map02010 ABC transporters	C00299
131.06955	C4 H9 N3 O2	Creatine	C00300	HMDB0000064	"Amino acids, peptides, and analogues"	"map00260 Glycine, serine and threonine metabolism; map00330 Arginine and proline metabolism; map01100 Metabolic pathways"	C00300
146.069	C5 H10 N2 O3	DL-Glutamine	C00303	HMDB0013240	"Amino acids, peptides, and analogues"	NA	C00303
488.10809	C14 H26 N4 O11 P2	Citicoline	C00307	HMDB0001413	Nucleic acids and analogues	map00564 Glycerophospholipid metabolism; map01100 Metabolic pathways; map05231 Choline metabolism in cancer	C00307
169.07406	C8 H11 N O3	Pyridoxine	C00314	HMDB0000239	Pyridine and derivatives	map00750 Vitamin B6 metabolism; map01100 Metabolic pathways; map01120 Microbial metabolism in diverse environments	C00314
145.15815	C7 H19 N3	Spermidine	C00315	HMDB0001257	Amines	map00330 Arginine and proline metabolism; map00410 beta-Alanine metabolism; map00480 Glutathione metabolism; map00940 Phenylpropanoid biosynthesis; map01100 Metabolic pathways; map02010 ABC transporters; map04976 Bile secretion	C00315
161.10541	C7 H15 N O3	L-CARNITINE	C00318	HMDB0000062	Organic nitrogen compounds	map04714 Thermogenesis; map04976 Bile secretion	C00318
299.28245	C18 H37 N O2	D-Sphingosine	C00319	HMDB0000252	Amines	map00600 Sphingolipid metabolism; map01100 Metabolic pathways; map04071 Sphingolipid signaling pathway; map04210 Apoptosis; map04217 Necroptosis	C00319
175.09559	C6 H13 N3 O3	L-Citrulline	C00327	HMDB0000904	"Amino acids, peptides, and analogues"	map00220 Arginine biosynthesis; map00997 Biosynthesis of various secondary metabolites - part 3; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01130 Biosynthesis of antibiotics; map01230 Biosynthesis of amino acids	C00327
208.08518	C10 H12 N2 O3	L-kynurenine	C00328	HMDB0000684	Organic oxygen compounds	map00380 Tryptophan metabolism; map01100 Metabolic pathways; map05143 African trypanosomiasis	C00328
