Molecular Weight	Formula	Name	KEGG ID	HMDB ID	Final Class	Pathway	ID
607.08163	C17 H27 N3 O17 P2	UDP-N-acetylglucosamine	C00043	HMDB0000290	Nucleic acids and analogues	"map00520 Amino sugar and nucleotide sugar metabolism; map00524 Neomycin, kanamycin and gentamicin biosynthesis; map00540 Lipopolysaccharide biosynthesis; map00550 Peptidoglycan biosynthesis; map01100 Metabolic pathways; map01130 Biosynthesis of antibiotics; map01502 Vancomycin resistance; map04931 Insulin resistance"	C00043
146.10553	C6 H14 N2 O2	L-Lysine	C00047	HMDB0000182	Amino acids	"map00300 Lysine biosynthesis; map00310 Lysine degradation; map00780 Biotin metabolism; map00960 Tropane, piperidine and pyridine alkaloid biosynthesis; map00970 Aminoacyl-tRNA biosynthesis; map00997 Biosynthesis of various secondary metabolites - part 3; map01060 Biosynthesis of plant secondary metabolites; map01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01130 Biosynthesis of antibiotics; map01210 2-Oxocarboxylic acid metabolism; map01230 Biosynthesis of amino acids; map02010 ABC transporters; map04974 Protein digestion and absorption"	C00047
133.03755	C4 H7 N O4	L-aspartate	C00049	HMDB0000191	Amino acids	"map00220 Arginine biosynthesis; map00250 Alanine, aspartate and glutamate metabolism; map00260 Glycine, serine and threonine metabolism; map00261 Monobactam biosynthesis; map00270 Cysteine and methionine metabolism; map00300 Lysine biosynthesis; map00340 Histidine metabolism; map00410 beta-Alanine metabolism; map00460 Cyanoamino acid metabolism; map00710 Carbon fixation in photosynthetic organisms; map00760 Nicotinate and nicotinamide metabolism; map00770 Pantothenate and CoA biosynthesis; map00970 Aminoacyl-tRNA biosynthesis; map00997 Biosynthesis of various secondary metabolites - part 3; map01060 Biosynthesis of plant secondary metabolites; map01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; map01070 Biosynthesis of plant hormones; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01130 Biosynthesis of antibiotics; map01200 Carbon metabolism; map01210 2-Oxocarboxylic acid metabolism; map01230 Biosynthesis of amino acids; map02010 ABC transporters; map02020 Two-component system; map02030 Bacterial chemotaxis; map04080 Neuroactive ligand-receptor interaction; map04974 Protein digestion and absorption; map05230 Central carbon metabolism in cancer"	C00049
307.08421	C10 H17 N3 O6 S	L-Glutathione (reduced)	C00051	HMDB0000125	"Amino acids, peptides, and analogues"	map00270 Cysteine and methionine metabolism; map00480 Glutathione metabolism; map01100 Metabolic pathways; map02010 ABC transporters; map04216 Ferroptosis; map04918 Thyroid hormone synthesis; map04976 Bile secretion	C00051
566.05539	C15 H24 N2 O17 P2	Uridine 5'-diphosphogalactose	C00052	HMDB0000302	Nucleic acids and analogues	map00052 Galactose metabolism; map00520 Amino sugar and nucleotide sugar metabolism; map01100 Metabolic pathways	C00052
456.104	C17 H21 N4 O9 P	Flavin mononucleotide (FMN)	C00061	HMDB0001520	Nucleic acids and analogues	map00190 Oxidative phosphorylation; map00740 Riboflavin metabolism; map00997 Biosynthesis of various secondary metabolites - part 3; map01057 Biosynthesis of type II polyketide products; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map04977 Vitamin digestion and absorption	C00061
174.11151	C6 H14 N4 O2	L-Arginine	C00062	HMDB0000517	Amino acids	"map00220 Arginine biosynthesis; map00261 Monobactam biosynthesis; map00330 Arginine and proline metabolism; map00331 Clavulanic acid biosynthesis; map00472 D-Arginine and D-ornithine metabolism; map00970 Aminoacyl-tRNA biosynthesis; map00997 Biosynthesis of various secondary metabolites - part 3; map01060 Biosynthesis of plant secondary metabolites; map01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01130 Biosynthesis of antibiotics; map01230 Biosynthesis of amino acids; map02010 ABC transporters; map04150 mTOR signaling pathway; map04974 Protein digestion and absorption; map05014 Amyotrophic lateral sclerosis (ALS); map05132 Salmonella infection; map05142 Chagas disease (American trypanosomiasis); map05146 Amoebiasis; map05230 Central carbon metabolism in cancer"	C00062
105.04263	C3 H7 N O3	L-Serine	C00065	HMDB0000187	Amino acids	"map00260 Glycine, serine and threonine metabolism; map00261 Monobactam biosynthesis; map00270 Cysteine and methionine metabolism; map00460 Cyanoamino acid metabolism; map00600 Sphingolipid metabolism; map00630 Glyoxylate and dicarboxylate metabolism; map00680 Methane metabolism; map00920 Sulfur metabolism; map00970 Aminoacyl-tRNA biosynthesis; map00997 Biosynthesis of various secondary metabolites - part 3; map01060 Biosynthesis of plant secondary metabolites; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01130 Biosynthesis of antibiotics; map01200 Carbon metabolism; map01230 Biosynthesis of amino acids; map01502 Vancomycin resistance; map02010 ABC transporters; map04071 Sphingolipid signaling pathway; map04974 Protein digestion and absorption; map04978 Mineral absorption; map05230 Central carbon metabolism in cancer"	C00065
176.0319	C6 H8 O6	Ascorbic acid	C00072	HMDB0000044	Organoheterocyclic compounds	map00053 Ascorbate and aldarate metabolism; map00480 Glutathione metabolism; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map02060 Phosphotransferase system (PTS); map04066 HIF-1 signaling pathway; map04977 Vitamin digestion and absorption	C00072
167.9827	C3 H5 O6 P	Phospho(enol)pyruvic acid	C00074	HMDB0000263	Organic acids	"map00010 Glycolysis / Gluconeogenesis; map00020 Citrate cycle (TCA cycle); map00400 Phenylalanine, tyrosine and tryptophan biosynthesis; map00440 Phosphonate and phosphinate metabolism; map00620 Pyruvate metabolism; map00680 Methane metabolism; map00710 Carbon fixation in photosynthetic organisms; map00720 Carbon fixation pathways in prokaryotes; map01060 Biosynthesis of plant secondary metabolites; map01061 Biosynthesis of phenylpropanoids; map01062 Biosynthesis of terpenoids and steroids; map01063 Biosynthesis of alkaloids derived from shikimate pathway; map01070 Biosynthesis of plant hormones; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01130 Biosynthesis of antibiotics; map01200 Carbon metabolism; map01230 Biosynthesis of amino acids; map02060 Phosphotransferase system (PTS); map04922 Glucagon signaling pathway; map04964 Proximal tubule bicarbonate reclamation; map05230 Central carbon metabolism in cancer"	C00074
132.08985	C5 H12 N2 O2	Ornithine	C00077	HMDB0000214	"Amino acids, peptides, and analogues"	"map00220 Arginine biosynthesis; map00330 Arginine and proline metabolism; map00472 D-Arginine and D-ornithine metabolism; map00480 Glutathione metabolism; map00997 Biosynthesis of various secondary metabolites - part 3; map01060 Biosynthesis of plant secondary metabolites; map01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01130 Biosynthesis of antibiotics; map01210 2-Oxocarboxylic acid metabolism; map01230 Biosynthesis of amino acids; map02010 ABC transporters"	C00077
204.09002	C11 H12 N2 O2	L-Tryptophan	C00078	HMDB0000929	Amino acids	"map00260 Glycine, serine and threonine metabolism; map00380 Tryptophan metabolism; map00400 Phenylalanine, tyrosine and tryptophan biosynthesis; map00404 Staurosporine biosynthesis; map00901 Indole alkaloid biosynthesis; map00966 Glucosinolate biosynthesis; map00970 Aminoacyl-tRNA biosynthesis; map00998 Biosynthesis of various secondary metabolites - part 2; map01060 Biosynthesis of plant secondary metabolites; map01061 Biosynthesis of phenylpropanoids; map01063 Biosynthesis of alkaloids derived from shikimate pathway; map01070 Biosynthesis of plant hormones; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01130 Biosynthesis of antibiotics; map01210 2-Oxocarboxylic acid metabolism; map01230 Biosynthesis of amino acids; map04361 Axon regeneration; map04726 Serotonergic synapse; map04974 Protein digestion and absorption; map04978 Mineral absorption; map05143 African trypanosomiasis; map05230 Central carbon metabolism in cancer"	C00078
110.0368	C6 H6 O2	Catechol	C00090	HMDB0000957	Phenols and derivatives	map00361 Chlorocyclohexane and chlorobenzene degradation; map00362 Benzoate degradation; map00364 Fluorobenzoate degradation; map00621 Dioxin degradation; map00624 Polycyclic aromatic hydrocarbon degradation; map00626 Naphthalene degradation; map00627 Aminobenzoate degradation; map01100 Metabolic pathways; map01120 Microbial metabolism in diverse environments; map01220 Degradation of aromatic compounds	C00090
260.02935	C6 H13 O9 P	D-glucose 6-phosphate	C00092	HMDB0001401	Carbohydrates	"map00500 Starch and sucrose metabolism; map00521 Streptomycin biosynthesis; map00524 Neomycin, kanamycin and gentamicin biosynthesis; map00562 Inositol phosphate metabolism; map00998 Biosynthesis of various secondary metabolites - part 2; map01062 Biosynthesis of terpenoids and steroids; map01100 Metabolic pathways; map01130 Biosynthesis of antibiotics; map02020 Two-component system; map02060 Phosphotransferase system (PTS); map04911 Insulin secretion; map04917 Prolactin signaling pathway; map04918 Thyroid hormone synthesis; map04931 Insulin resistance; map04973 Carbohydrate digestion and absorption; map05111 Biofilm formation - Vibrio cholerae; map05230 Central carbon metabolism in cancer"	C00092
260.02979	C6 H13 O9 P	Glucose 1-phosphate	C00103	HMDB0001586	Carbohydrates	map00010 Glycolysis / Gluconeogenesis; map00040 Pentose and glucuronate interconversions; map00052 Galactose metabolism; map00500 Starch and sucrose metabolism; map00520 Amino sugar and nucleotide sugar metabolism; map00521 Streptomycin biosynthesis; map00523 Polyketide sugar unit biosynthesis; map00525 Acarbose and validamycin biosynthesis; map00561 Glycerolipid metabolism; map01060 Biosynthesis of plant secondary metabolites; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01130 Biosynthesis of antibiotics; map04922 Glucagon signaling pathway	C00103
324.03638	C9 H13 N2 O9 P	Uridine 5'-monophosphate	C00105	HMDB0000288	Nucleic acids and analogues	map00240 Pyrimidine metabolism; map01100 Metabolic pathways	C00105
112.02733	C4 H4 N2 O2	Uracil	C00106	HMDB0000300	Organoheterocyclic compounds	map00240 Pyrimidine metabolism; map00410 beta-Alanine metabolism; map00770 Pantothenate and CoA biosynthesis; map01100 Metabolic pathways	C00106
102.03197	C4 H6 O3	2-Oxobutyric acid	C00109	HMDB0000005	Organic acids	"map00260 Glycine, serine and threonine metabolism; map00270 Cysteine and methionine metabolism; map00290 Valine, leucine and isoleucine biosynthesis; map00640 Propanoate metabolism; map00660 C5-Branched dibasic acid metabolism; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01130 Biosynthesis of antibiotics; map01210 2-Oxocarboxylic acid metabolism; map01230 Biosynthesis of amino acids"	C00109
150.05312	C5 H10 O5	D-ribose	C00121	HMDB0000283	Carbohydrates	map00030 Pentose phosphate pathway; map01100 Metabolic pathways; map02010 ABC transporters; map02030 Bacterial chemotaxis	C00121
116.0113	C4 H4 O4	Fumarate	C00122	HMDB0000134	Organic acids	"map00020 Citrate cycle (TCA cycle); map00190 Oxidative phosphorylation; map00220 Arginine biosynthesis; map00250 Alanine, aspartate and glutamate metabolism; map00350 Tyrosine metabolism; map00360 Phenylalanine metabolism; map00620 Pyruvate metabolism; map00643 Styrene degradation; map00650 Butanoate metabolism; map00720 Carbon fixation pathways in prokaryotes; map00760 Nicotinate and nicotinamide metabolism; map01060 Biosynthesis of plant secondary metabolites; map01061 Biosynthesis of phenylpropanoids; map01062 Biosynthesis of terpenoids and steroids; map01063 Biosynthesis of alkaloids derived from shikimate pathway; map01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; map01065 Biosynthesis of alkaloids derived from histidine and purine; map01066 Biosynthesis of alkaloids derived from terpenoid and polyketide; map01070 Biosynthesis of plant hormones; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01130 Biosynthesis of antibiotics; map01200 Carbon metabolism; map01220 Degradation of aromatic compounds; map02020 Two-component system; map04922 Glucagon signaling pathway; map05200 Pathways in cancer; map05211 Renal cell carcinoma; map05230 Central carbon metabolism in cancer"	C00122
131.09462	C6 H13 N O2	L-Leucine	C00123	HMDB0000687	Amino acids	"map00280 Valine, leucine and isoleucine degradation; map00290 Valine, leucine and isoleucine biosynthesis; map00966 Glucosinolate biosynthesis; map00970 Aminoacyl-tRNA biosynthesis; map01060 Biosynthesis of plant secondary metabolites; map01065 Biosynthesis of alkaloids derived from histidine and purine; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01210 2-Oxocarboxylic acid metabolism; map01230 Biosynthesis of amino acids; map02010 ABC transporters; map04150 mTOR signaling pathway; map04974 Protein digestion and absorption; map04978 Mineral absorption; map05131 Shigellosis; map05230 Central carbon metabolism in cancer"	C00123
612.15401	C20 H32 N6 O12 S2	L-Glutathione oxidized	C00127	HMDB0003337	"Amino acids, peptides, and analogues"	map00480 Glutathione metabolism; map01100 Metabolic pathways; map04216 Ferroptosis; map04918 Thyroid hormone synthesis	C00127
348.04659	C10 H13 N4 O8 P	Inosine 5'-phosphate	C00130	HMDB0000175	Purines and derivatives	map00230 Purine metabolism; map01060 Biosynthesis of plant secondary metabolites; map01065 Biosynthesis of alkaloids derived from histidine and purine; map01070 Biosynthesis of plant hormones; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01130 Biosynthesis of antibiotics; map01523 Antifolate resistance; map04742 Taste transduction	C00130
155.06953	C6 H9 N3 O2	L-Histidine	C00135	HMDB0000177	Amino acids	map00340 Histidine metabolism; map00410 beta-Alanine metabolism; map00970 Aminoacyl-tRNA biosynthesis; map01060 Biosynthesis of plant secondary metabolites; map01065 Biosynthesis of alkaloids derived from histidine and purine; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01230 Biosynthesis of amino acids; map02010 ABC transporters; map04974 Protein digestion and absorption; map05230 Central carbon metabolism in cancer	C00135
221.0894	C8 H15 N O6	N-Acetyl-D-glucosamine	C00140	HMDB0000215	Carbohydrates	map00520 Amino sugar and nucleotide sugar metabolism; map01100 Metabolic pathways; map02010 ABC transporters; map02060 Phosphotransferase system (PTS)	C00140
363.05856	C10 H14 N5 O8 P	Guanosine 5'-monophosphate	C00144	HMDB0001397	Purines and derivatives	map00230 Purine metabolism; map01060 Biosynthesis of plant secondary metabolites; map01065 Biosynthesis of alkaloids derived from histidine and purine; map01100 Metabolic pathways; map01523 Antifolate resistance; map04022 cGMP-PKG signaling pathway; map04740 Olfactory transduction; map04742 Taste transduction; map04744 Phototransduction	C00144
135.05451	C5 H5 N5	Adenine	C00147	HMDB0000034	Purines and derivatives	map00230 Purine metabolism; map00908 Zeatin biosynthesis; map01100 Metabolic pathways	C00147
115.06332	C5 H9 N O2	L-Proline	C00148	HMDB0000162	Amino acids	map00330 Arginine and proline metabolism; map00332 Carbapenem biosynthesis; map00333 Prodigiosin biosynthesis; map00401 Novobiocin biosynthesis; map00404 Staurosporine biosynthesis; map00970 Aminoacyl-tRNA biosynthesis; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01130 Biosynthesis of antibiotics; map01230 Biosynthesis of amino acids; map02010 ABC transporters; map04974 Protein digestion and absorption; map04978 Mineral absorption; map05230 Central carbon metabolism in cancer	C00148
134.02154	C4 H6 O5	(s)-malate	C00149	HMDB0000156	Organic acids	"map00020 Citrate cycle (TCA cycle); map00620 Pyruvate metabolism; map00630 Glyoxylate and dicarboxylate metabolism; map00680 Methane metabolism; map00710 Carbon fixation in photosynthetic organisms; map00720 Carbon fixation pathways in prokaryotes; map01060 Biosynthesis of plant secondary metabolites; map01061 Biosynthesis of phenylpropanoids; map01062 Biosynthesis of terpenoids and steroids; map01063 Biosynthesis of alkaloids derived from shikimate pathway; map01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; map01065 Biosynthesis of alkaloids derived from histidine and purine; map01066 Biosynthesis of alkaloids derived from terpenoid and polyketide; map01070 Biosynthesis of plant hormones; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01130 Biosynthesis of antibiotics; map01200 Carbon metabolism; map02020 Two-component system; map04742 Taste transduction; map04922 Glucagon signaling pathway; map04964 Proximal tubule bicarbonate reclamation; map05200 Pathways in cancer; map05211 Renal cell carcinoma; map05230 Central carbon metabolism in cancer"	C00149
132.05345	C4 H8 N2 O3	L-Asparagine	C00152	HMDB0000168	Amino acids	"map00250 Alanine, aspartate and glutamate metabolism; map00460 Cyanoamino acid metabolism; map00970 Aminoacyl-tRNA biosynthesis; map01060 Biosynthesis of plant secondary metabolites; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01230 Biosynthesis of amino acids; map04974 Protein digestion and absorption; map04978 Mineral absorption; map05230 Central carbon metabolism in cancer"	C00152
138.03192	C7 H6 O3	4-hydroxybenzoate	C00156	HMDB0000500	Benzene and derivatives	map00130 Ubiquinone and other terpenoid-quinone biosynthesis; map00362 Benzoate degradation; map00363 Bisphenol degradation; map00623 Toluene degradation; map00627 Aminobenzoate degradation; map00790 Folate biosynthesis; map01061 Biosynthesis of phenylpropanoids; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01220 Degradation of aromatic compounds; map07110 Benzoic acid family	C00156
192.02683	C6 H8 O7	Citrate	C00158	HMDB0000094	Organic acids	"map00020 Citrate cycle (TCA cycle); map00250 Alanine, aspartate and glutamate metabolism; map00630 Glyoxylate and dicarboxylate metabolism; map00720 Carbon fixation pathways in prokaryotes; map00997 Biosynthesis of various secondary metabolites - part 3; map01060 Biosynthesis of plant secondary metabolites; map01061 Biosynthesis of phenylpropanoids; map01062 Biosynthesis of terpenoids and steroids; map01063 Biosynthesis of alkaloids derived from shikimate pathway; map01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; map01065 Biosynthesis of alkaloids derived from histidine and purine; map01066 Biosynthesis of alkaloids derived from terpenoid and polyketide; map01070 Biosynthesis of plant hormones; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01130 Biosynthesis of antibiotics; map01200 Carbon metabolism; map01210 2-Oxocarboxylic acid metabolism; map01230 Biosynthesis of amino acids; map02020 Two-component system; map04742 Taste transduction; map04922 Glucagon signaling pathway; map05230 Central carbon metabolism in cancer"	C00158
