map	Sub Pathway	Metabolism	Super Pathway
00550	Peptidoglycan biosynthesis	Metabolism	Glycan biosynthesis and metabolism
00561	Glycerolipid metabolism	Metabolism	Lipid metabolism
00562	Inositol phosphate metabolism	Metabolism	Carbohydrate metabolism
00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	Metabolism	Glycan biosynthesis and metabolism
00564	Glycerophospholipid metabolism	Metabolism	Lipid metabolism
00565	Ether lipid metabolism	Metabolism	Lipid metabolism
00571	Lipoarabinomannan (LAM) biosynthesis	Metabolism	Glycan biosynthesis and metabolism
00572	Arabinogalactan biosynthesis - Mycobacterium	Metabolism	Glycan biosynthesis and metabolism
00590	Arachidonic acid metabolism	Metabolism	Lipid metabolism
00591	Linoleic acid metabolism	Metabolism	Lipid metabolism
00592	alpha-Linolenic acid metabolism	Metabolism	Lipid metabolism
00600	Sphingolipid metabolism	Metabolism	Lipid metabolism
00601	Glycosphingolipid biosynthesis - lacto and neolacto series	Metabolism	Glycan biosynthesis and metabolism
00603	Glycosphingolipid biosynthesis - globo and isoglobo series	Metabolism	Glycan biosynthesis and metabolism
00604	Glycosphingolipid biosynthesis - ganglio series	Metabolism	Glycan biosynthesis and metabolism
00620	Pyruvate metabolism	Metabolism	Carbohydrate metabolism
00621	Dioxin degradation	Metabolism	Xenobiotics biodegradation and metabolism
00622	Xylene degradation	Metabolism	Xenobiotics biodegradation and metabolism
00623	Toluene degradation	Metabolism	Xenobiotics biodegradation and metabolism
00624	Polycyclic aromatic hydrocarbon degradation	Metabolism	Xenobiotics biodegradation and metabolism
00625	Chloroalkane and chloroalkene degradation	Metabolism	Xenobiotics biodegradation and metabolism
00626	Naphthalene degradation	Metabolism	Xenobiotics biodegradation and metabolism
00627	Aminobenzoate degradation	Metabolism	Xenobiotics biodegradation and metabolism
00630	Glyoxylate and dicarboxylate metabolism	Metabolism	Carbohydrate metabolism
00633	Nitrotoluene degradation	Metabolism	Xenobiotics biodegradation and metabolism
00640	Propanoate metabolism	Metabolism	Carbohydrate metabolism
00642	Ethylbenzene degradation	Metabolism	Xenobiotics biodegradation and metabolism
00643	Styrene degradation	Metabolism	Xenobiotics biodegradation and metabolism
00650	Butanoate metabolism	Metabolism	Carbohydrate metabolism
00660	C5-Branched dibasic acid metabolism	Metabolism	Carbohydrate metabolism
00670	One carbon pool by folate	Metabolism	Metabolism of cofactors and vitamins
00680	Methane metabolism	Metabolism	Energy metabolism
00710	Carbon fixation in photosynthetic organisms	Metabolism	Energy metabolism
00720	Carbon fixation pathways in prokaryotes	Metabolism	Energy metabolism
00730	Thiamine metabolism	Metabolism	Metabolism of cofactors and vitamins
00740	Riboflavin metabolism	Metabolism	Metabolism of cofactors and vitamins
00750	Vitamin B6 metabolism	Metabolism	Metabolism of cofactors and vitamins
00760	Nicotinate and nicotinamide metabolism	Metabolism	Metabolism of cofactors and vitamins
00770	Pantothenate and CoA biosynthesis	Metabolism	Metabolism of cofactors and vitamins
00780	Biotin metabolism	Metabolism	Metabolism of cofactors and vitamins
00785	Lipoic acid metabolism	Metabolism	Metabolism of cofactors and vitamins
00790	Folate biosynthesis	Metabolism	Metabolism of cofactors and vitamins
00791	Atrazine degradation	Metabolism	Xenobiotics biodegradation and metabolism
00830	Retinol metabolism	Metabolism	Metabolism of cofactors and vitamins
00860	Porphyrin and chlorophyll metabolism	Metabolism	Metabolism of cofactors and vitamins
00900	Terpenoid backbone biosynthesis	Metabolism	Metabolism of terpenoids and polyketides
00901	Indole alkaloid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
00902	Monoterpenoid biosynthesis	Metabolism	Metabolism of terpenoids and polyketides
00903	Limonene and pinene degradation	Metabolism	Metabolism of terpenoids and polyketides
00904	Diterpenoid biosynthesis	Metabolism	Metabolism of terpenoids and polyketides
00905	Brassinosteroid biosynthesis	Metabolism	Metabolism of terpenoids and polyketides
00906	Carotenoid biosynthesis	Metabolism	Metabolism of terpenoids and polyketides
00908	Zeatin biosynthesis	Metabolism	Metabolism of terpenoids and polyketides
00909	Sesquiterpenoid and triterpenoid biosynthesis	Metabolism	Metabolism of terpenoids and polyketides
00910	Nitrogen metabolism	Metabolism	Energy metabolism
00920	Sulfur metabolism	Metabolism	Energy metabolism
00930	Caprolactam degradation	Metabolism	Xenobiotics biodegradation and metabolism
00940	Phenylpropanoid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
00941	Flavonoid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
00942	Anthocyanin biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
00943	Isoflavonoid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
00944	Flavone and flavonol biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
00950	Isoquinoline alkaloid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
00960	Tropane, piperidine and pyridine alkaloid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
00965	Betalain biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
00966	Glucosinolate biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
00980	Metabolism of xenobiotics by cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
00981	Insect hormone biosynthesis	Metabolism	Metabolism of terpenoids and polyketides
00982	Drug metabolism - cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
00983	Drug metabolism - other enzymes	Metabolism	Xenobiotics biodegradation and metabolism
00984	Steroid degradation	Metabolism	Xenobiotics biodegradation and metabolism
00997	Biosynthesis of various secondary metabolites - part 3	Metabolism	Biosynthesis of other secondary metabolites
00998	Biosynthesis of various secondary metabolites - part 2	Metabolism	Biosynthesis of other secondary metabolites
00999	Biosynthesis of various secondary metabolites - part 1	Metabolism	Biosynthesis of other secondary metabolites
01010	Overview of biosynthetic pathways	Metabolism	Chemical structure transformation maps
01040	Biosynthesis of unsaturated fatty acids	Metabolism	Lipid metabolism
01051	Biosynthesis of ansamycins	Metabolism	Metabolism of terpenoids and polyketides
01052	Type I polyketide structures	Metabolism	Metabolism of terpenoids and polyketides
01053	Biosynthesis of siderophore group nonribosomal peptides	Metabolism	Metabolism of terpenoids and polyketides
01054	Nonribosomal peptide structures	Metabolism	Metabolism of terpenoids and polyketides
01055	Biosynthesis of vancomycin group antibiotics	Metabolism	Metabolism of terpenoids and polyketides
01056	Biosynthesis of type II polyketide backbone	Metabolism	Metabolism of terpenoids and polyketides
01057	Biosynthesis of type II polyketide products	Metabolism	Metabolism of terpenoids and polyketides
01058	Acridone alkaloid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
01059	Biosynthesis of enediyne antibiotics	Metabolism	Metabolism of terpenoids and polyketides
01060	Biosynthesis of plant secondary metabolites	Metabolism	Chemical structure transformation maps
01061	Biosynthesis of phenylpropanoids	Metabolism	Chemical structure transformation maps
01062	Biosynthesis of terpenoids and steroids	Metabolism	Chemical structure transformation maps
01063	Biosynthesis of alkaloids derived from shikimate pathway	Metabolism	Chemical structure transformation maps
01064	Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid	Metabolism	Chemical structure transformation maps
01065	Biosynthesis of alkaloids derived from histidine and purine	Metabolism	Chemical structure transformation maps
01066	Biosynthesis of alkaloids derived from terpenoid and polyketide	Metabolism	Chemical structure transformation maps
01070	Biosynthesis of plant hormones	Metabolism	Chemical structure transformation maps
01100	Metabolic pathways	Metabolism	Global and overview maps
01110	Biosynthesis of secondary metabolites	Metabolism	Global and overview maps
01120	Microbial metabolism in diverse environments	Metabolism	Global and overview maps
01130	Biosynthesis of antibiotics	Metabolism	Global and overview maps
01200	Carbon metabolism	Metabolism	Global and overview maps
01210	2-Oxocarboxylic acid metabolism	Metabolism	Global and overview maps
01212	Fatty acid metabolism	Metabolism	Global and overview maps
01220	Degradation of aromatic compounds	Metabolism	Global and overview maps
01230	Biosynthesis of amino acids	Metabolism	Global and overview maps
